id,product_name,price(vnd),original_price,discount,discount_rate(%),review_count,rating_average,quantity_sold,brand_name,origin,subcategory_name,updated_at,category_name
4048043,Điện Thoại Bàn Panasonic KX-TS500,334000,369000,35000,9,25,4.5,315.0,Panasonic,,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
4048581,Điện Thoại Bàn Panasonic KX-TSC11,714000,759000,45000,6,9,4.5,66.0,Panasonic,,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
11251711,Điện thoại bàn không dây Panasonic KX-TGD312 - Hàng Chính Hãng,2190000,2190000,0,0,2,5.0,11.0,Panasonic,,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
11251770,Điện thoại bàn không dây Panasonic KX-TGD310 - Hàng Chính Hãng,1430000,1430000,0,0,0,0.0,4.0,Panasonic,,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
11251951,Điện thoại bàn không dây Panasonic KX-TGB110-Hàng Chính Hãng,890000,890000,0,0,1,5.0,17.0,Panasonic,,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
21317020,Điện thoại bàn không dây Panasonic KX-TGF310 - Hàng Chính Hãng,2590000,2590000,0,0,0,0.0,7.0,Panasonic,,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
23142193,Điện thoại bàn không dây Panasonic KX-TGC313 - Hàng Chính Hãng,2350000,2350000,0,0,3,4.7,6.0,Panasonic,,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
29440849,điện thoại  IP622C - hàng chính hãng,1650000,1650000,0,0,0,0.0,0.0,,,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
53380152,Điện Thoại IP Phone Fanvil X1S - Hàng Chính Hãng,950000,950000,0,0,0,0.0,0.0,,,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
67982880,LapTop Lenovo V14 IIL - 82C400W3VN | Intel Core i5 _ 1035G1 | 4GB | 256GB SSD PCIe | VGA INTEL  | 14 inch HD | FreeDos | Hàng Chính Hãng,10120000,10150000,30000,0,3,4.7,5.0,Lenovo,Trung Quốc,laptop-truyen-thong,2025-10-21 16:35:09,Laptop
94453667,Điện thoại VoIP Yealink SIP-T30,1050000,1050000,0,0,0,0.0,0.0,,,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
102620086,Điện thoại VoIP Yealink SIP-T30 - Hàng Chính Hãng,1200000,1200000,0,0,0,0.0,0.0,,,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
108924121,Laptop Dell Latitude 3520 70251603 (Core i3-1115G4/ 4 GB/ 256GB SSD/ 15.6HD/ Fedora) - Hàng Chính Hãng,9420000,9450000,30000,0,3,5.0,5.0,Dell,Trung Quốc,laptop-truyen-thong,2025-10-21 16:35:09,Laptop
117347869,ĐIỆN THOẠI HỘI NGHỊ YEALINK CP960 -HÀNG CHÍNH HÃNG,15230000,15230000,0,0,0,0.0,0.0,,,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
125182567,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,3990000,3990000,0,0,409,5.0,1582.0,Kindle,Mỹ,may-doc-sach,2025-10-21 16:35:09,Máy tính bảng
136979185,Laptop HP 14s-dq2545TU 46M23PA (Core i5-1135G7/ 8GB/ 256GB/ 14HD/ Win10) - Hàng Chính Hãng,15960000,15990000,30000,0,0,0.0,0.0,,,laptop-truyen-thong,2025-10-21 16:35:09,Laptop
139632023,"Máy đọc sách Kobo Libra (Libra Colour, Libra 2) - hàng nhập khẩu",8600000,8600000,0,0,56,5.0,209.0,Kobo,Canada,may-doc-sach,2025-10-21 16:35:09,Máy tính bảng
155974507,Laptop HP 14s-fq1080AU 4K0Z7PA (AMD R3-5300U/ 4GB DDR4/ 256GB SSD/ 14 HD/ Win 11) - Hàng Chính Hãng,14220000,14250000,30000,0,0,0.0,0.0,,,laptop-truyen-thong,2025-10-21 16:35:09,Laptop
156222386,Điện thoại Panasonic KX-TS520MX -Hàng chính hãng,474000,489000,15000,3,0,0.0,1.0,Panasonic,Malaysia,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
158583026,Laptop MSI Modern 14 B11MOU 851VN Gray (i3 1115G4/ 8GB/ 256GB SSD/ W10) Hàng Chính Hãng,14460000,14490000,30000,0,0,0.0,1.0,MSI ,Trung Quốc,laptop-truyen-thong,2025-10-21 16:35:09,Laptop
158583221,Laptop MSI Modern 14 B11SBU 668VN Carbon Gray (i5 1155G7/ 8GB/ 512GB SSD/ MX450 2GB/ W10) Hàng NK,21960000,21990000,30000,0,0,0.0,0.0,,,laptop-truyen-thong,2025-10-21 16:35:09,Laptop
163914808,Điện thoại bàn Panasonic  KX-TS500MX-hàng chính hãng,320000,320000,0,0,139,5.0,985.0,Panasonic,Malaysia,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
164213695,Điện thoại bàn Panasonic KX-TGB110 hàng chính hãng,850000,850000,0,0,18,5.0,73.0,Panasonic,Trung Quốc,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
164318521,Điện thoại bàn Panasonic KX-TGF320 hàng chính hãng,2500000,2500000,0,0,6,5.0,24.0,Panasonic,Malaysia,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
164318603,Điện thoại bàn Panasonic KX-TGF310 hàng chính hãng,2350000,2350000,0,0,6,5.0,37.0,Panasonic,Malaysia,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
170165658,Điện thoại bàn Ktel 303 hàng chính hãng,450000,450000,0,0,5,5.0,24.0,KTEL,Trung Quốc,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
170165701,Điện thoại bàn Ktel 645 hàng chính hãng,450000,450000,0,0,12,5.0,68.0,KTEL,Trung Quốc,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
170727266,Điện thoại bàn Panasonic KX-TS560 hàng chính hãng,688000,688000,0,0,14,5.0,53.0,Panasonic,Malaysia,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
170727305,Điện thoại bàn Panasonic KX-TS580 hàng chính hãng,1044000,1059000,15000,1,0,0.0,1.0,Panasonic,Malaysia,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
172537996,"(Hàng chính hãng) Điện thoại bàn hữu tuyến H2P, hiệu Alcatel - Lucent",2220000,2220000,0,0,0,0.0,0.0,,,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
173789184,Điện thoại bàn treo tường TC990,250000,250000,0,0,7,5.0,51.0,Uniden,Trung Quốc,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
179547641,Máy đọc sách Kindle Paperwhite 5 (8GB) - Hàng chính hãng,3990000,3990000,0,0,0,0.0,1.0,Kindle,Trung Quốc,may-doc-sach,2025-10-21 16:35:09,Máy tính bảng
181452535,"Điện thoại Itel Magic X Pro 4G ,Kết nối WIFI,Chia sẻ WIFI cho máy khác - Hàng chính hãng",619000,790000,171000,22,31,4.2,154.0,Itel,Trung Quốc,dien-thoai-pho-thong,2025-10-21 16:35:09,Điện thoại
181927718,Điện thoại bàn Panasonic KX-TGC313 hàng chính hãng,2150000,2150000,0,0,3,5.0,15.0,Panasonic,Việt Nam,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
181927736,Điện thoại bàn Panasonix KX-TGD312 hàng chính hãng,1850000,1850000,0,0,6,5.0,28.0,Panasonic,Việt Nam,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
181927774,Điện thoại bàn Panasonic KX-TGD310 hàng chính hãng,1190000,1190000,0,0,8,4.8,30.0,Panasonic,Malaysia,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
181927801,Điện thoại bàn Panasonic KX-TGC212 hàng chính hãng,1650000,1650000,0,0,13,4.8,50.0,Panasonic,Malaysia,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
181928189,Điện thoại bàn Panasonic KX-TGC312 hàng chính hãng,1550000,1550000,0,0,6,5.0,33.0,Panasonic,Việt Nam,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
181928208,Điện thoại bàn Panasonic KX-TGC310 hàng chính hãng,990000,1050000,60000,6,7,5.0,55.0,Panasonic,Việt Nam,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
181977398,Điện thoại bàn Panasonic KX-TS880 hàng chính hãng,1150000,1150000,0,0,11,4.8,49.0,Panasonic,Malaysia,dien-thoai-ban,2025-10-21 16:35:09,Điện thoại
183743642,"Lenovo ThinkPad L460 (Intel Core i5 6300 , RAM 8.0GB, 1x180GB SSD SATA III, Intel HD 520, MÀN HÌNH 14 INCH Tặng cặp + chuột không dây + bàn di chuột - HÀNG CHÍNH HÃNG",5760000,5790000,30000,1,8,4.6,26.0,Lenovo,China,laptop-truyen-thong,2025-10-21 16:35:09,Laptop
184059211,Apple iPhone 13,11990000,20000000,8010000,40,2056,5.0,6832.0,Apple,Trung Quốc,dien-thoai-smartphone,2025-10-21 16:35:09,Điện thoại
